"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"HSPA1B",4643.03876328982,-0.0653219554086901,0.109762612983608,-0.595120265754289,0.551763083035451,0.816734134319503,-0.045277729220196,"High vs Low","HSPA1B",0.816734134319503
"HSPA1A",4180.34279640484,-0.103215540981178,0.128542967356303,-0.802965289381247,0.421994797291798,0.736839736837984,-0.0715435612210728,"High vs Low","HSPA1A",0.736839736837984
"HSPA1L",120.174418886928,-0.127718215545777,0.0769114476767512,-1.66058785010211,0.0967962508081972,0.39818219254452,-0.0885275210117027,"High vs Low","HSPA1L",0.39818219254452
"LSM2",1992.26591841151,-0.0275228628907541,0.101298584129174,-0.27170037101069,0.785852415995083,0.928098005753039,-0.0190773948136642,"High vs Low","LSM2",0.928098005753039
"VARS",6889.08551565993,0.0656304313599021,0.088603265720878,0.740722487212312,0.458861721781557,0.759548694711335,0.0454915484560492,"High vs Low","VARS",0.759548694711335
"VWA7",455.488004838218,0.02471215544963,0.137014342401081,0.180361814803959,0.856868530050499,0.953031703082933,0.0171291608754701,"High vs Low","VWA7",0.953031703082933
"CARD16",409.470635854499,0.14882194953757,0.12360264808868,1.2040352843476,0.228575941106541,0.572671058652177,0.103155514727401,"High vs Low","CARD16",0.572671058652177
"MBD5",789.940705424952,-0.0491293959377015,0.0503753343679,-0.975266895082042,0.329427887230428,0.66394417054098,-0.034053902276831,"High vs Low","MBD5",0.66394417054098
"MSH5",240.301637691077,0.395323890288874,0.144242274803349,2.74069367546952,0.00613096368608283,0.108591101928207,0.274017639961722,"High vs Low","MSH5",0.108591101928207
"C6orf25",21.6964263310414,0.177293308212357,0.157727428885869,1.12404867983137,0.260992375061827,0.60464489572335,0.122890356719541,"High vs Low","C6orf25",0.60464489572335
"LY6G6C",8.59147337573906,-0.650108770973085,0.282638604750601,-2.30014145288729,0.021440207464308,0.19630389827864,-0.450621061657285,"High vs Low","LY6G6C",0.19630389827864
"XXbac.BPG32J3.20",0.0667683789708277,-0.0740534902683325,1.52298319892468,-0.0486239705865558,0.961218966790685,NA,-0.051329967990118,"High vs Low","XXbac.BPG32J3.20",NA
"LY6G6F",0.29315866405843,0.0422867060915064,0.543868499286984,0.0777517104721908,0.938025559561353,NA,0.0293109111024947,"High vs Low","LY6G6F",NA
"ABHD16A",367.568359191623,0.105399218594217,0.0699981481209451,1.50574295782947,0.132133171662113,0.454054440021931,0.0730571712018028,"High vs Low","ABHD16A",0.454054440021931
"LY6G5C",130.261683205564,0.0565498400792566,0.0924376858641043,0.61176174577101,0.540695402904642,0.810663182812391,0.0391973622120526,"High vs Low","LY6G5C",0.810663182812391
"CSNK2B",2609.27084516585,0.156643427664405,0.073379780651357,2.13469468393005,0.0327859575216146,0.239967276662439,0.108576950238828,"High vs Low","CSNK2B",0.239967276662439
"GPANK1",939.243658668022,0.124020485784699,0.0616248237692198,2.01250856715057,0.0441663545020332,0.27866689304756,0.0859644500533387,"High vs Low","GPANK1",0.27866689304756
"C6orf47",1580.4214158665,0.0768588370119532,0.0596818243793164,1.28780977812384,0.197812187670383,0.538063708788044,0.0532744861759517,"High vs Low","C6orf47",0.538063708788044
"FAM155A",139.766279434161,0.425125100731637,0.211605290903865,2.00904759477294,0.0445320864868931,0.279263267014917,0.294674264957397,"High vs Low","FAM155A",0.279263267014917
"APOM",98.5446298038784,0.0876679829023568,0.120066394804344,0.730162532532253,0.465290841702048,0.763846849742039,0.060766815174146,"High vs Low","APOM",0.763846849742039
"TRIM49C",0.535729531688524,0.982940330730152,0.600981017430503,1.63555969693139,0.101931771166278,NA,0.681322318904265,"High vs Low","TRIM49C",NA
"BAG6",13739.7842943387,0.151798141345438,0.065539764593656,2.3161227735037,0.0205515661971842,0.192374926933899,0.10521845368783,"High vs Low","BAG6",0.192374926933899
"C1orf195",2.41152698563043,-0.515708534900948,0.240497648292322,-2.14433920066491,0.0320057179947098,0.236678685673329,-0.357461916957292,"High vs Low","C1orf195",0.236678685673329
"PRRC2A",16090.7222266955,0.253106536939433,0.0770983000248932,3.28290684564655,0.00102742610797883,0.0424474426433077,0.17544008246086,"High vs Low","PRRC2A",0.0424474426433077
"AIF1",1680.72986175894,-0.0350656135708751,0.132694735906375,-0.26425775921975,0.791581306883869,0.930981219357643,-0.0243056311812567,"High vs Low","AIF1",0.930981219357643
"NCR3",58.8203908498201,-0.0416408264689222,0.178672105819268,-0.233057232285845,0.815716964182104,0.938330600581647,-0.0288632214631194,"High vs Low","NCR3",0.938330600581647
"PRAMEF20",0.0605399185511796,-0.0742662391335574,1.6412681307896,-0.045249303109193,0.963908596270256,NA,-0.051477434266216,"High vs Low","PRAMEF20",NA
"PRAMEF17",0.210511182694005,-0.0472750785852492,0.919608544401737,-0.0514078287691472,0.959000546568022,NA,-0.0327685874321153,"High vs Low","PRAMEF17",NA
"PRAMEF19",0.19604849533304,0.615389563545574,1.10669965835791,0.556058329735705,0.578170980295588,NA,0.42655554091763,"High vs Low","PRAMEF19",NA
"PRAMEF14",0.0289805993077924,0.00489666094919103,2.80594825854723,0.00174510022922741,0.99860761217677,NA,0.00339410673108983,"High vs Low","PRAMEF14",NA
"LST1",997.671533495925,0.107314646875822,0.15992187680384,0.671044193706245,0.502192376475791,0.787990161316935,0.0743848449147625,"High vs Low","LST1",0.787990161316935
