"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"ZFY",0.163631925241658,2.55184618712616,0.740205468206382,0.906627986663376,"High vs Low","ZFY",0.906627986663376
"GGACT",-0.0320987418430293,2.49676517278608,0.740360037610077,0.906650755924127,"High vs Low","GGACT",0.906650755924127
"SGK1",0.0442869092366308,7.02737539969941,0.740393543314328,0.906650755924127,"High vs Low","SGK1",0.906650755924127
"GSPT2",0.0469104168161106,3.51215689080118,0.740492446648313,0.906650755924127,"High vs Low","GSPT2",0.906650755924127
"SHCBP1",0.0441292863151056,3.57171621481427,0.740546577327091,0.906650755924127,"High vs Low","SHCBP1",0.906650755924127
"GPRIN3",-0.0434394665528536,5.05866287676909,0.740546626060753,0.906650755924127,"High vs Low","GPRIN3",0.906650755924127
"BIN2",0.0429442917220186,4.14443798546741,0.740595232830358,0.906650755924127,"High vs Low","BIN2",0.906650755924127
"ARL4D",-0.0494305975407457,3.51409178882897,0.740623596073617,0.906650755924127,"High vs Low","ARL4D",0.906650755924127
"DIP2B",0.0265513760938028,5.92146356197687,0.74064348446763,0.906650755924127,"High vs Low","DIP2B",0.906650755924127
"ALOX15B",0.075392960353468,6.11723185717887,0.740656459823345,0.906650755924127,"High vs Low","ALOX15B",0.906650755924127
"HIVEP1",-0.0250205427367231,5.04594145940496,0.740704630980966,0.90665091076356,"High vs Low","HIVEP1",0.90665091076356
"SFTPA2",-0.101057486054645,12.1224270267424,0.740786066459957,0.906664526445468,"High vs Low","SFTPA2",0.906664526445468
"PDE6A",0.0634315644150177,-0.636843791477081,0.740844528797518,0.906664526445468,"High vs Low","PDE6A",0.906664526445468
"BTBD19",-0.0436208396864098,2.74306943399869,0.740859890720635,0.906664526445468,"High vs Low","BTBD19",0.906664526445468
"CTAGE9",-0.0867532693843365,-2.8749418839448,0.740944602367216,0.906678659721472,"High vs Low","CTAGE9",0.906678659721472
"C2orf88",0.0430724029211858,1.69690585548581,0.740998581311033,0.906678659721472,"High vs Low","C2orf88",0.906678659721472
"SNX30",0.047807917365773,6.43078909387903,0.741015577811683,0.906678659721472,"High vs Low","SNX30",0.906678659721472
"AASDH",-0.0243192818801864,3.77630218970226,0.741126098997498,0.906755096873819,"High vs Low","AASDH",0.906755096873819
"DGKE",-0.034369404377694,3.35770153852623,0.741190374914529,0.906774947488627,"High vs Low","DGKE",0.906774947488627
"MXI1",0.0274606398518133,5.5233082557502,0.741353344179097,0.906867594163443,"High vs Low","MXI1",0.906867594163443
"HIST2H4B",-0.084577192387255,-4.22928351817732,0.741412723171265,0.906867594163443,"High vs Low","HIST2H4B",0.906867594163443
"EIF2S3L",-0.0658291360729411,-0.361605605629079,0.741527297122735,0.906867594163443,"High vs Low","EIF2S3L",0.906867594163443
"ANKRD10",-0.0268918195819636,6.52620975666769,0.741572922538991,0.906867594163443,"High vs Low","ANKRD10",0.906867594163443
"ARL2",0.0278810813280176,5.30013326755445,0.741593219788039,0.906867594163443,"High vs Low","ARL2",0.906867594163443
"CYBA",-0.0428390772239296,7.53252850720644,0.741624540065561,0.906867594163443,"High vs Low","CYBA",0.906867594163443
"EIF2A",-0.0216104219164435,6.58702418376318,0.741698128955058,0.906867594163443,"High vs Low","EIF2A",0.906867594163443
"LDHC",-0.110972007365152,-0.276885068492491,0.741705656856414,0.906867594163443,"High vs Low","LDHC",0.906867594163443
"RPL23A",-0.0309312091857838,8.87088517749077,0.74172234170228,0.906867594163443,"High vs Low","RPL23A",0.906867594163443
"KRTAP5.2",0.0864338156431243,-4.03309926111477,0.741746665036974,0.906867594163443,"High vs Low","KRTAP5.2",0.906867594163443
"GCNT3",0.0819732824173886,5.55120146667058,0.741914361098555,0.906958658922815,"High vs Low","GCNT3",0.906958658922815
"NPAT",0.0239810367569516,4.57842273754733,0.741917270827805,0.906958658922815,"High vs Low","NPAT",0.906958658922815
"RBM4",0.0202700142147118,3.98991902914011,0.742014740382953,0.906962336332631,"High vs Low","RBM4",0.906962336332631
"TMEM254",0.0293969897623158,5.10448626755451,0.742056064641519,0.906962336332631,"High vs Low","TMEM254",0.906962336332631
"DISP1",-0.0368731202970606,4.04679892757328,0.742064462560322,0.906962336332631,"High vs Low","DISP1",0.906962336332631
"SQLE",-0.0383395584828928,6.08134191095493,0.742172183591459,0.907035248789224,"High vs Low","SQLE",0.907035248789224
"USP34",0.0300787396293844,6.21701475596491,0.742343320171708,0.9071856492009,"High vs Low","USP34",0.9071856492009
"GOLGB1",-0.023046260332687,7.30251049866038,0.742405054060089,0.907202342496144,"High vs Low","GOLGB1",0.907202342496144
"HTR3A",-0.100701943328211,3.45540884588088,0.742532745557893,0.907299627131766,"High vs Low","HTR3A",0.907299627131766
"LURAP1L",0.038103977783392,4.28395911929454,0.742669682351465,0.907408195251182,"High vs Low","LURAP1L",0.907408195251182
"FCGR1B",-0.0518365818581692,0.532215497796478,0.742884346848771,0.907581838442942,"High vs Low","FCGR1B",0.907581838442942
"TDG",0.0294742876474144,4.77976320784206,0.742945341732865,0.907581838442942,"High vs Low","TDG",0.907581838442942
"FAM71A",0.129163640776704,-4.27454801312843,0.742984363531107,0.907581838442942,"High vs Low","FAM71A",0.907581838442942
"DOCK2",-0.0442144978624574,5.37337383171133,0.743004176890733,0.907581838442942,"High vs Low","DOCK2",0.907581838442942
"SLX4IP",0.0263324653889585,3.78570481736583,0.743193021453538,0.90775375455338,"High vs Low","SLX4IP",0.90775375455338
"SLCO1A2",-0.120784226948885,1.03425273455445,0.743286823352454,0.907779384570052,"High vs Low","SLCO1A2",0.907779384570052
"ASB9",0.0495985801044985,2.98996630962959,0.743339204838147,0.907779384570052,"High vs Low","ASB9",0.907779384570052
"MTA2",0.018115402167832,6.76321735291854,0.743358318571407,0.907779384570052,"High vs Low","MTA2",0.907779384570052
"FANK1",-0.0450692432256472,2.92234503878821,0.743443064323285,0.907824127529747,"High vs Low","FANK1",0.907824127529747
"APOBR",0.0483562441027532,4.58394267333869,0.743586895439651,0.907940702891058,"High vs Low","APOBR",0.907940702891058
"DMKN",0.0554697248100888,5.65822129672433,0.743634757240432,0.907940702891058,"High vs Low","DMKN",0.907940702891058
"B4GALT5",0.0280501705098309,7.09706108376074,0.743696255383352,0.907956409743853,"High vs Low","B4GALT5",0.907956409743853
"WDR75",0.0209505520402709,5.52204695561859,0.743743849389035,0.907956409743853,"High vs Low","WDR75",0.907956409743853
"ZNF3",0.023023334948484,5.2761737136567,0.744002687594089,0.90821364367605,"High vs Low","ZNF3",0.90821364367605
"KCTD10",-0.0180064726958054,6.31729649650024,0.744209021199925,0.908302417255585,"High vs Low","KCTD10",0.908302417255585
"HILPDA",0.0567535221782237,4.92804761318577,0.744250086667475,0.908302417255585,"High vs Low","HILPDA",0.908302417255585
"DLG4",0.0332916513038855,3.84370409030423,0.744306215196752,0.908302417255585,"High vs Low","DLG4",0.908302417255585
