"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"RP11.683L23.1",-0.0868257611451511,-0.907163653574058,0.684436747886138,0.87982224759627,"High vs Low","RP11.683L23.1",0.87982224759627
"CDK13",0.0215932156489133,6.03934895897903,0.684451392706856,0.87982224759627,"High vs Low","CDK13",0.87982224759627
"RP1.37E16.12",-0.0771149872223774,-3.70980741808855,0.684484709918615,0.87982224759627,"High vs Low","RP1.37E16.12",0.87982224759627
"NDUFC1",0.034544001472241,5.23933724125965,0.684495936963369,0.87982224759627,"High vs Low","NDUFC1",0.87982224759627
"LRG1",-0.065620084512221,5.94653033746498,0.684518586148505,0.87982224759627,"High vs Low","LRG1",0.87982224759627
"GLB1L3",-0.138944319085213,4.88305291212809,0.684575284314919,0.879835196506629,"High vs Low","GLB1L3",0.879835196506629
"TMEM160",0.0450415122099754,2.28462389339866,0.684763814219678,0.879923340002403,"High vs Low","TMEM160",0.879923340002403
"CAMLG",-0.0306326121719485,5.21776608372456,0.684775452013828,0.879923340002403,"High vs Low","CAMLG",0.879923340002403
"HNF1B",-0.0716711230918999,5.06962785622297,0.684783751326125,0.879923340002403,"High vs Low","HNF1B",0.879923340002403
"FDX1L",0.0448062879427333,1.4716780762867,0.684951021080824,0.88007130561273,"High vs Low","FDX1L",0.88007130561273
"WDR81",0.0357078094322217,5.72343762411385,0.684992175127962,0.88007130561273,"High vs Low","WDR81",0.88007130561273
"LEPR",-0.074482677373876,4.62310025104078,0.685134393360987,0.880194100150806,"High vs Low","LEPR",0.880194100150806
"XPNPEP2",-0.0745632479481032,0.266235642056945,0.68524412163091,0.880275140864323,"High vs Low","XPNPEP2",0.880275140864323
"MRGPRE",-0.151173083829309,-1.91347679931664,0.68537275462987,0.880332841080586,"High vs Low","MRGPRE",0.880332841080586
"PLIN1",0.0803250193494773,-0.79833109665285,0.685406988735627,0.880332841080586,"High vs Low","PLIN1",0.880332841080586
"NDUFA11",0.0434533897955713,5.52194476454341,0.685468932015453,0.880332841080586,"High vs Low","NDUFA11",0.880332841080586
"GS1.259H13.10",-0.104011869239823,-2.87338144191137,0.685475638113408,0.880332841080586,"High vs Low","GS1.259H13.10",0.880332841080586
"KCNAB2",0.0454842183918616,5.49117596499775,0.685557540420121,0.880378111280578,"High vs Low","KCNAB2",0.880378111280578
"CKAP5",-0.0340265229095169,6.81215842933845,0.68568558518847,0.880482626435194,"High vs Low","CKAP5",0.880482626435194
"ATP5C1",-0.0368276138603362,7.26147390702592,0.685855128405801,0.88057697801292,"High vs Low","ATP5C1",0.88057697801292
"ZCCHC2",0.04099096078371,4.74359790588929,0.685905472580258,0.88057697801292,"High vs Low","ZCCHC2",0.88057697801292
"SDPR",0.0679376942537878,5.50066861743277,0.686056986065403,0.88057697801292,"High vs Low","SDPR",0.88057697801292
"FREM3",0.118450805531194,-1.86015974889515,0.686081447154899,0.88057697801292,"High vs Low","FREM3",0.88057697801292
"TRAPPC5",0.0484067771756049,-0.0889778272958566,0.68612689929476,0.88057697801292,"High vs Low","TRAPPC5",0.88057697801292
"ELN",0.0721221527563068,6.96489684497798,0.686131629349247,0.88057697801292,"High vs Low","ELN",0.88057697801292
"DYRK1A",0.0215563737081102,6.18511413158538,0.686175108053217,0.88057697801292,"High vs Low","DYRK1A",0.88057697801292
"OR1K1",0.076235313011317,-4.31401908024018,0.686196647665542,0.88057697801292,"High vs Low","OR1K1",0.88057697801292
"ZC3H14",0.0287444922891895,5.56442098055056,0.686222269529735,0.88057697801292,"High vs Low","ZC3H14",0.88057697801292
"ZNF629",0.0341245149642299,5.46484957286142,0.686225692261035,0.88057697801292,"High vs Low","ZNF629",0.88057697801292
"RAB27B",-0.0706348935731866,5.74422836639561,0.68631090689024,0.88060016233993,"High vs Low","RAB27B",0.88060016233993
"PRSS53",0.0591096444093817,1.27576413404352,0.68642598321995,0.88060016233993,"High vs Low","PRSS53",0.88060016233993
"TIRAP",-0.0374641586675338,3.16818978341607,0.686439352781797,0.88060016233993,"High vs Low","TIRAP",0.88060016233993
"FIGF",0.10553372670259,2.60111704067401,0.686473402611188,0.88060016233993,"High vs Low","FIGF",0.88060016233993
"TBX1",0.0854230265490152,2.96600753817827,0.686477080609544,0.88060016233993,"High vs Low","TBX1",0.88060016233993
"SYDE2",0.054241782517569,2.76937287461459,0.686694774954808,0.880819541746342,"High vs Low","SYDE2",0.880819541746342
"ZFP37",-0.0529163137659981,1.53951733110369,0.686760373533244,0.880843812203211,"High vs Low","ZFP37",0.880843812203211
"SRXN1",0.0863894100029939,2.35918712048979,0.686812393245382,0.880850664192851,"High vs Low","SRXN1",0.880850664192851
"ETV1",0.0653459002146423,5.48905339077492,0.687338827437696,0.881438628063157,"High vs Low","ETV1",0.881438628063157
"TRIM36",0.084530356417511,2.45091867947604,0.68739821616658,0.881438628063157,"High vs Low","TRIM36",0.881438628063157
