"","logFC","AveExpr","t","P.Value","adj.P.Val","B","group","genesymbol"
"SIT1",0.278101842723283,3.71770383096094,0.556537426694664,0.578420294307355,0.899830507271938,-5.13867350995896,"High vs Low","SIT1"
"FAM163A",0.148070291860111,0.271301075130465,0.556405789645952,0.578510101225014,0.899830507271938,-5.13872723623261,"High vs Low","FAM163A"
"SERTM1",0.0357879188705486,0.190664969816252,0.556371135817527,0.578533744249481,0.899830507271938,-5.13874137772175,"High vs Low","SERTM1"
"FAM229B",-0.177973203810583,2.84079724512417,-0.556356779901863,0.578543538893338,0.899830507271938,-5.13874723580802,"High vs Low","FAM229B"
"FAM212B",-0.0321026470382587,0.693937191898705,-0.556298394542334,0.578583374416542,0.899830507271938,-5.13877105903212,"High vs Low","FAM212B"
"PRRC2B",0.513761836725582,12.8389752010314,0.556284456843431,0.578592884107631,0.899830507271938,-5.13877674572178,"High vs Low","PRRC2B"
"ANGPT1",0.13213156834592,1.75827637953274,0.556265629254827,0.578605730287602,0.899830507271938,-5.13878442729908,"High vs Low","ANGPT1"
"GOLGA4",-0.27024402647471,9.30174474778212,-0.556145726426425,0.578687543894527,0.899830507271938,-5.13883334107302,"High vs Low","GOLGA4"
"RP11.38C17.1",0.0081940941912272,0.128822478963988,0.556098840539023,0.578719537151904,0.899830507271938,-5.13885246508473,"High vs Low","RP11.38C17.1"
"CRHBP",0.013143055494985,0.1072302718763,0.556059077520475,0.578746670673416,0.899830507271938,-5.138868682532,"High vs Low","CRHBP"
"DENND5A",-0.207226805655999,8.14429596324313,-0.556030206117553,0.578766372342398,0.899830507271938,-5.13888045708236,"High vs Low","DENND5A"
"FHOD1",0.646733549374236,13.355089480225,0.555934258506366,0.578831848685408,0.899830507271938,-5.13891958277508,"High vs Low","FHOD1"
"GRB14",0.259287708847453,3.06414843579948,0.555903317427058,0.578852964171086,0.899830507271938,-5.13893219855055,"High vs Low","GRB14"
"DFNA5",0.170930074809409,1.88889169320827,0.555859243482971,0.578883042701715,0.899830507271938,-5.13895016785272,"High vs Low","DFNA5"
"ZNF280C",-0.0601144573147561,1.64947631355041,-0.55585592594795,0.578885306803542,0.899830507271938,-5.13895152038104,"High vs Low","ZNF280C"
"INMT",-0.915108754067932,8.96576751474834,-0.555822516752604,0.578908107646427,0.899830507271938,-5.13896514055236,"High vs Low","INMT"
"IL37",2.48008516717092,11.1335726012034,0.555723390169717,0.578975761270911,0.899838898940466,-5.13900554741183,"High vs Low","IL37"
"CST5",-0.0866280607296708,0.640236917902279,-0.555641541397583,0.579031625654471,0.899838898940466,-5.13903890592399,"High vs Low","CST5"
"PRKAG1",-0.285595490403587,12.0015104825453,-0.555538149751346,0.579102197376395,0.899838898940466,-5.13908103751142,"High vs Low","PRKAG1"
"LMTK2",-0.222703925025652,6.7786628320512,-0.555493875560952,0.579132418719621,0.899838898940466,-5.13909907663743,"High vs Low","LMTK2"
"KDR",-0.911051400102858,11.7798577654961,-0.555407388272108,0.579191456665863,0.899845594869141,-5.13913431098352,"High vs Low","KDR"
"TCEAL1",0.321878077680475,10.1394429871041,0.55522224348448,0.579317849749959,0.899901888657923,-5.13920971936207,"High vs Low","TCEAL1"
