"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"MINPP1",1236.57135435938,-0.243862368748345,0.0713080966998185,-3.41984122469175,0.000626576951915259,0.0381349871707619,-0.169032513342585,"High vs Low","MINPP1",0.0381349871707619
"ACTA2",9377.05351720955,0.136631783846794,0.129414130243877,1.05577175837998,0.291072503869456,0.646774702204348,0.0947059357482814,"High vs Low","ACTA2",0.646774702204348
"LIPA",7767.67787112743,-0.192612096718204,0.121835885632095,-1.5809143235502,0.113897628805719,0.443011214593463,-0.133508531781962,"High vs Low","LIPA",0.443011214593463
"TLX1",6.00204598507911,-0.553296501259421,0.452644929064246,-1.22236319404539,0.221570311380048,0.583423452017992,-0.38351590986165,"High vs Low","TLX1",0.583423452017992
"C10orf2",747.533962670171,0.0350684398750843,0.0911235073786001,0.384845150103605,0.700352145604857,0.893953717090829,0.0243075902260507,"High vs Low","C10orf2",0.893953717090829
"LZTS2",3954.59094522649,0.117198867906631,0.0760734272080537,1.54060191853988,0.123413700714912,0.458240260125727,0.0812360648542988,"High vs Low","LZTS2",0.458240260125727
"SFXN3",3247.29606773017,-0.0631823454058976,0.0977862697883962,-0.646126961818061,0.518197135620643,0.802676697305628,-0.0437946645792625,"High vs Low","SFXN3",0.802676697305628
"KAZALD1",532.457416663677,0.0813726324383917,0.149316233711905,0.544968423161506,0.585775235334379,0.838388215348722,0.0564032107494119,"High vs Low","KAZALD1",0.838388215348722
"FBXW4",2909.98924195621,0.0310940147468165,0.0833848876584626,0.372897483224718,0.709224745239781,0.898394273251426,0.0215527286540452,"High vs Low","FBXW4",0.898394273251426
"FGF8",5.13239742876797,-0.722910852456817,0.243257507787886,-2.97179256266645,0.0029606664546912,0.0829947565513666,-0.501083619176629,"High vs Low","FGF8",0.0829947565513666
"NPM3",1206.72612108739,-0.0333532273479796,0.118045483748822,-0.28254556031088,0.777525216928588,0.924978231874744,-0.0231186954988269,"High vs Low","NPM3",0.924978231874744
"TNKS2",3785.97442796329,-0.0834802415559613,0.0597964269142335,-1.39607407773206,0.162692188966363,0.515567428555753,-0.0578640940669777,"High vs Low","TNKS2",0.515567428555753
"PITX3",2.39296179117124,0.196743157845773,0.263204076191391,0.74749282265184,0.454766133655453,0.766622675537591,0.136371965155258,"High vs Low","PITX3",0.766622675537591
"GBF1",5848.73866863726,-0.00406402666912542,0.0627802738439967,-0.0647341341521408,0.948385684685929,0.984533221303943,-0.00281696862742473,"High vs Low","GBF1",0.984533221303943
"ARHGAP21",3283.52816239427,0.108731893675916,0.0825005659344315,1.31795330667588,0.187519279263283,0.547543195044049,0.0753672055384048,"High vs Low","ARHGAP21",0.547543195044049
"CPEB3",345.466204007297,-0.128639912918415,0.0724821934135138,-1.77477952666967,0.0759342981009246,0.372423029923328,-0.0891663929468764,"High vs Low","CPEB3",0.372423029923328
"FBXL15",697.049729709911,0.15796715937203,0.103515080065263,1.52603040322663,0.127002292957077,0.462724103528026,0.109494491139786,"High vs Low","FBXL15",0.462724103528026
"CUEDC2",2068.98123381003,0.0667841425873595,0.0632808765908868,1.0553605794547,0.291260444692224,0.646909950678895,0.0462912401405415,"High vs Low","CUEDC2",0.646909950678895
"SUFU",1190.94672238837,0.00645900454506729,0.062414441349067,0.103485738323665,0.917577467889741,0.975323211043592,0.00447704078963716,"High vs Low","SUFU",0.975323211043592
"ANKRD26",445.597909821389,0.015372962812155,0.0879591396316035,0.174773910665124,0.861257289057686,0.956033016196784,0.0106557258300981,"High vs Low","ANKRD26",0.956033016196784
"ACBD5",2157.40470787514,-0.093745126490726,0.0787166536707037,-1.19091859370561,0.233685544372434,0.595358156803321,-0.0649791701182822,"High vs Low","ACBD5",0.595358156803321
"LHPP",1343.67608237931,0.0396714299858616,0.104655133737993,0.379068169605325,0.704637242462598,0.896213581104077,0.0274981398434813,"High vs Low","LHPP",0.896213581104077
"LARP4B",5019.97091833974,0.0259084113103322,0.0691335134755952,0.374759071365266,0.707839655827579,0.897451951946353,0.0179583422525441,"High vs Low","LARP4B",0.897451951946353
